id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
1240,St Kilda,21/127 Grey St,1,u,330000,SA,hockingstuart,15/10/16,6.1,3182,1,1,1,653,,,Port Phillip,-37.8642,144.9814,Southern Metropolitan,13240
1241,St Kilda,6/285 Barkly St,1,u,450000,SP,Buxton,18/6/16,6.1,3182,1,1,1,0,61,2009,Port Phillip,-37.8731,144.9799,Southern Metropolitan,13240
1242,St Kilda,4/27 Robe St,2,u,385000,VB,Harrington,18/6/16,6.1,3182,2,1,1,0,46,1970,Port Phillip,-37.8648,144.9783,Southern Metropolitan,13240
1243,St Kilda,104/13 Wellington St,2,u,575000,S,Buxton,18/6/16,6.1,3182,2,2,1,0,78,2013,Port Phillip,-37.8562,144.9844,Southern Metropolitan,13240
1244,St Kilda,13/60 Carlisle St,1,u,420000,S,Cayzer,22/5/16,6.1,3182,1,1,1,0,,,Port Phillip,-37.8674,144.9839,Southern Metropolitan,13240
1245,St Kilda,64 Havelock St,2,h,1200500,S,hockingstuart,24/9/16,6.1,3182,2,1,0,201,83,1915,Port Phillip,-37.8654,144.9809,Southern Metropolitan,13240
1246,St Kilda,21/7 Alfred Sq,2,u,520000,PI,Whiting,25/2/17,6.1,3182,2,1,1,1235,63,1980,Port Phillip,-37.8645,144.9749,Southern Metropolitan,13240
1247,St Kilda,1/160 Carlisle St,2,u,902000,S,Marshall,25/2/17,6.1,3182,2,1,0,0,108,1920,Port Phillip,-37.8681,144.9894,Southern Metropolitan,13240
1248,St Kilda,18 Odessa St,2,h,1435000,SP,Marshall,25/2/17,6.1,3182,2,1,1,225,,,Port Phillip,-37.8625,144.9888,Southern Metropolitan,13240
1249,St Kilda,35 Pakington St,3,h,1678000,S,McGrath,27/6/16,6.1,3182,3,2,2,361,171,2016,Port Phillip,-37.8663,144.9882,Southern Metropolitan,13240
1250,St Kilda,1/45 Robe St,2,u,400000,VB,McGrath,27/6/16,6.1,3182,2,1,1,797,67,1970,Port Phillip,-37.8642,144.9793,Southern Metropolitan,13240
1251,St Kilda,13/62 Wellington St,1,u,461000,SP,McGrath,27/11/16,6.1,3182,1,1,1,0,,,Port Phillip,-37.8571,144.987,Southern Metropolitan,13240
1252,St Kilda,71 Carlisle St,3,h,1030000,S,Jellis,28/5/16,6.1,3182,3,1,1,292,,,Port Phillip,-37.8677,144.984,Southern Metropolitan,13240
1253,St Kilda,247 Barkly St,3,h,1225000,S,McGrath,28/8/16,6.1,3182,3,1,1,248,,2000,Port Phillip,-37.8714,144.9802,Southern Metropolitan,13240
1254,Strathmore,56 Hillsyde Pde,3,h,1025000,S,Considine,7/5/16,9.7,3041,3,2,1,654,180,1950,Moonee Valley,-37.7369,144.9251,Western Metropolitan,3284
1255,Strathmore,27 Henshall Rd,3,h,1330000,S,Considine,10/9/16,9.7,3041,3,2,1,606,159,1950,Moonee Valley,-37.7378,144.9168,Western Metropolitan,3284
1256,Strathmore,39 Loeman St,2,h,1321000,S,Nelson,10/12/16,9.7,3041,2,1,1,703,,,Moonee Valley,-37.7346,144.9204,Western Metropolitan,3284
1257,Strathmore,355 Napier St,4,h,1300000,PI,Nelson,12/11/16,9.7,3041,4,3,2,0,160,1970,Moonee Valley,-37.7337,144.9184,Western Metropolitan,3284
1258,Strathmore,61 Mascoma St,3,h,1150000,SP,Nelson,15/10/16,9.7,3041,3,2,3,696,164,1950,Moonee Valley,-37.7261,144.9171,Western Metropolitan,3284
1259,Strathmore,43 Henshall Rd,4,h,1430000,S,Nelson,16/4/16,9.7,3041,4,2,1,607,224,1990,Moonee Valley,-37.7376,144.9154,Western Metropolitan,3284
1260,Strathmore,34 Lind St,4,t,995000,SP,Nelson,18/3/17,9.7,3041,4,3,1,260,,,Moonee Valley,-37.7319,144.9195,Western Metropolitan,3284
1261,Strathmore,6 Prefect St,4,h,1715000,S,Paul,18/6/16,9.7,3041,4,3,2,650,348,2001,Moonee Valley,-37.7363,144.9208,Western Metropolitan,3284
1262,Strathmore,138a Lebanon St,2,h,630000,S,Barry,22/5/16,9.7,3041,3,2,1,378,106,2000,Moonee Valley,-37.7245,144.9097,Western Metropolitan,3284
1263,Strathmore,16 Wendora St,3,h,1075000,S,Nelson,24/9/16,9.7,3041,3,2,1,752,,,Moonee Valley,-37.7303,144.9198,Western Metropolitan,3284
1264,Strathmore,164 Lebanon St,3,t,600000,PI,Nelson,28/8/16,9.7,3041,4,3,2,717,,,Moonee Valley,-37.7234,144.9077,Western Metropolitan,3284
1265,Sunshine,1/136 Wright St,2,u,260000,PI,Douglas,3/9/16,12.6,3020,2,1,1,79,,,Brimbank,-37.7952,144.8262,Western Metropolitan,3755
1266,Sunshine,18 Tyler St,2,h,710000,S,Barry,3/12/16,12.6,3020,2,1,0,457,,,Brimbank,-37.7878,144.8369,Western Metropolitan,3755
1267,Sunshine,15 Mellor St,3,h,745000,SP,Biggin,4/3/17,12.6,3020,3,1,2,518,122,1960,Brimbank,-37.7802,144.8374,Western Metropolitan,3755
1268,Sunshine,17 Snowden St,3,h,657500,S,Barry,7/5/16,12.6,3020,3,1,1,513,116,1955,Brimbank,-37.7796,144.8372,Western Metropolitan,3755
1269,Sunshine,1 Walter St,4,h,1030000,S,Sweeney,7/5/16,12.6,3020,4,2,2,803,309,2002,Brimbank,-37.7932,144.8434,Western Metropolitan,3755
1270,Sunshine,1/164 Cornwall Rd,3,u,490000,S,Barry,10/12/16,12.6,3020,3,1,1,301,115,1950,Brimbank,-37.7793,144.8427,Western Metropolitan,3755
1271,Sunshine,3 Donald St,3,h,816000,S,Douglas,15/10/16,12.6,3020,3,1,1,511,113,1958,Brimbank,-37.7906,144.8387,Western Metropolitan,3755
1272,Sunshine,20 Kingaroy Rd,4,h,888000,S,Barry,18/3/17,12.6,3020,4,1,2,562,,,Brimbank,-37.7919,144.8394,Western Metropolitan,3755
1273,Sunshine,7 Union St,4,h,590000,S,Barry,18/6/16,12.6,3020,3,1,1,490,,,Brimbank,-37.7893,144.8437,Western Metropolitan,3755
1274,Sunshine,24 McIntosh St,3,h,571000,S,Barry,22/5/16,12.6,3020,3,1,2,589,,1960,Brimbank,-37.7856,144.8177,Western Metropolitan,3755
1275,Sunshine,3/2 Cooper St,3,t,500000,PI,Douglas,27/6/16,12.6,3020,3,1,2,224,159,1985,Brimbank,-37.7863,144.8401,Western Metropolitan,3755
1276,Sunshine,68 Chapman St,4,h,895000,S,Jas,27/11/16,12.6,3020,4,2,3,430,144,1945,Brimbank,-37.7939,144.8283,Western Metropolitan,3755
1277,Sunshine,2/7 Mayo St,2,t,410000,SP,Barry,28/5/16,12.6,3020,2,2,2,204,85,2008,Brimbank,-37.7982,144.823,Western Metropolitan,3755
1278,Sunshine,6 robinson St,3,h,590000,S,GL,28/5/16,12.6,3020,3,2,1,286,,,Brimbank,-37.7896,144.8369,Western Metropolitan,3755
1279,Sunshine North,23 Compton Pde,4,h,716000,S,Barry,3/9/16,13.3,3020,4,1,1,683,,,Brimbank,-37.7694,144.8321,Western Metropolitan,4217
1280,Sunshine North,10 Gresford St,3,h,701000,S,Douglas,4/3/17,13.3,3020,3,2,0,630,,,Brimbank,-37.7692,144.8348,Western Metropolitan,4217
1281,Sunshine North,19 Balcombe St,3,h,555000,SP,Douglas,4/6/16,13.3,3020,3,1,1,565,,,Brimbank,-37.7781,144.8451,Western Metropolitan,4217
1282,Sunshine North,38 Warwick Rd,2,h,435000,S,Douglas,6/8/16,13.3,3020,2,1,4,343,81,1960,Brimbank,-37.7689,144.8402,Western Metropolitan,4217
1283,Sunshine North,25 Lodden St,4,h,626800,S,Douglas,7/11/16,13.3,3020,4,1,2,581,130,1950,Brimbank,-37.7712,144.8336,Western Metropolitan,4217
1284,Sunshine North,4 Isla St,3,h,685000,S,Barry,10/12/16,13.3,3020,3,1,3,592,,,Brimbank,-37.7751,144.8342,Western Metropolitan,4217
1285,Sunshine North,6 Middlesex St,3,h,808000,S,Sweeney,10/12/16,13.3,3020,3,1,2,692,,,Brimbank,-37.771,144.8428,Western Metropolitan,4217
1286,Sunshine North,62 Northumberland Rd,3,h,790000,S,Purplebricks,11/3/17,13.3,3020,3,1,2,568,,,Brimbank,-37.7727,144.8417,Western Metropolitan,4217
1287,Sunshine North,20 Mills St,3,h,635800,SP,Douglas,16/4/16,13.3,3020,3,1,1,602,,,Brimbank,-37.7696,144.84,Western Metropolitan,4217
1288,Sunshine North,87 Berkshire Rd,3,h,580000,SP,Barry,18/3/17,13.3,3020,3,1,1,0,,,Brimbank,-37.7652,144.8376,Western Metropolitan,4217
1289,Sunshine North,86 Northumberland Rd,3,h,680000,SP,Barry,18/3/17,13.3,3020,3,1,2,553,105,,Brimbank,-37.7706,144.8422,Western Metropolitan,4217
1290,Sunshine West,66 Nicholson Pde,3,h,615000,S,Melbourne,3/12/16,13.5,3020,3,2,6,667,152,1975,Brimbank,-37.7969,144.8086,Western Metropolitan,6763
1291,Sunshine West,17 Fern St,3,h,480000,PI,Barry,16/4/16,13.5,3020,3,1,2,696,148,1960,Brimbank,-37.7836,144.7988,Western Metropolitan,6763
1292,Sunshine West,50 Killara St,3,h,690000,S,Burnham,18/3/17,13.5,3020,3,1,0,540,121,1967,Brimbank,-37.789,144.8195,Western Metropolitan,6763
1293,Sunshine West,5 Empress Ct,3,h,472500,SP,Biggin,18/6/16,13.5,3020,3,1,1,586,,,Brimbank,-37.791,144.7925,Western Metropolitan,6763
1294,Sunshine West,122 Glengala Rd,3,h,587000,S,Barry,22/8/16,13.5,3020,3,1,1,694,,,Brimbank,-37.7892,144.8137,Western Metropolitan,6763
1295,Sunshine West,3/14 Smart St,2,u,350000,S,Bells,24/9/16,13.5,3020,2,1,1,235,80,1990,Brimbank,-37.7847,144.8146,Western Metropolitan,6763
1296,Sunshine West,4 Apollo Pl,4,h,657000,S,hockingstuart,25/2/17,13.5,3020,4,2,4,651,178,1975,Brimbank,-37.7914,144.7918,Western Metropolitan,6763
1297,Sunshine West,18 Norton St,3,h,586000,S,Barry,27/6/16,13.5,3020,3,1,1,701,120,1960,Brimbank,-37.7843,144.8052,Western Metropolitan,6763
1298,Sunshine West,1/40 Warmington Rd,3,h,305000,SP,Jellis,27/6/16,13.5,3020,3,1,2,367,114,1970,Brimbank,-37.8018,144.8246,Western Metropolitan,6763
1299,Sunshine West,2/42 Bardsley St,3,t,510000,SP,Barry,28/5/16,13.5,3020,3,2,1,333,141,2012,Brimbank,-37.7912,144.8215,Western Metropolitan,6763
1300,Sunshine West,49 Warmington Rd,3,h,451000,S,Douglas,30/7/16,13.5,3020,3,1,6,655,146,1978,Brimbank,-37.8022,144.8235,Western Metropolitan,6763
1301,Surrey Hills,28 Guildford Rd,3,h,2009000,S,Noel,3/9/16,11.2,3127,3,1,2,843,,,Boroondara,-37.822,145.0897,Southern Metropolitan,5457
1302,Surrey Hills,36 Russell St,3,t,1325000,SP,Fletchers,3/12/16,11.2,3127,3,2,1,302,,,Whitehorse,-37.8289,145.1005,Southern Metropolitan,5457
1303,Surrey Hills,2/247 Elgar Rd,3,u,930000,S,Fletchers,4/2/16,11.2,3127,3,2,2,252,,1992,Whitehorse,-37.8344,145.1114,Southern Metropolitan,5457
1304,Surrey Hills,16 Park Rd,2,h,1018000,S,RT,6/8/16,11.2,3127,3,1,2,391,15,,Whitehorse,-37.8364,145.1099,Southern Metropolitan,5457
1305,Surrey Hills,8 Charles St,4,h,1530000,S,Fletchers,8/10/16,11.2,3127,4,2,2,486,,1890,Whitehorse,-37.8258,145.1116,Southern Metropolitan,5457
1306,Surrey Hills,47 Suffolk Rd,3,h,2200000,VB,Fletchers,10/9/16,11.2,3127,3,2,4,816,,,Boroondara,-37.8304,145.0934,Southern Metropolitan,5457
1307,Surrey Hills,95 Guildford Rd,4,h,1700000,S,Marshall,12/11/16,11.2,3127,4,1,1,579,143,1900,Boroondara,-37.8224,145.0959,Southern Metropolitan,5457
1308,Surrey Hills,2/23 Broughton Rd,2,u,610000,PI,Marshall,15/10/16,11.2,3127,2,1,1,102,78,1970,Whitehorse,-37.8288,145.1048,Southern Metropolitan,5457
1309,Surrey Hills,53 Broughton Rd,5,h,1350000,S,Fletchers,16/4/16,11.2,3127,3,2,2,677,,1948,Whitehorse,-37.8316,145.1049,Southern Metropolitan,5457
1310,Surrey Hills,7 Newton St,5,h,2100000,PI,Ray,16/7/16,11.2,3127,5,2,2,1025,277,1915,Whitehorse,-37.8286,145.1094,Southern Metropolitan,5457
1311,Surrey Hills,14 Scheele St,3,h,1560000,S,hockingstuart,24/9/16,11.2,3127,0,2,1,335,209,2013,Boroondara,-37.8165,145.0981,Southern Metropolitan,5457
1312,Surrey Hills,17 Weybridge St,3,h,2300000,S,Fletchers,27/6/16,11.2,3127,3,2,1,735,219,1920,Boroondara,-37.8182,145.096,Southern Metropolitan,5457
1313,Surrey Hills,545 Whitehorse Rd,5,h,2450000,S,Marshall,27/6/16,11.2,3127,5,4,2,1076,,,Boroondara,-37.8141,145.0936,Southern Metropolitan,5457
1314,Surrey Hills,999A Riversdale Rd,3,h,1205000,S,Fletchers,28/1/16,11.2,3127,3,1,2,490,,,Whitehorse,-37.8361,145.1006,Southern Metropolitan,5457
1315,Surrey Hills,5 Boronia St,6,h,1650000,PI,Noel,28/5/16,11.2,3127,4,3,2,713,295,1928,Whitehorse,-37.8328,145.104,Southern Metropolitan,5457
1316,Surrey Hills,40 Grovedale Rd,4,h,1751000,S,Jellis,28/8/16,11.2,3127,3,1,3,627,,,Boroondara,-37.8176,145.0941,Southern Metropolitan,5457
1317,Templestowe Lower,3 Waratah Dr,4,h,1201000,SP,Zahn,3/9/16,13.8,3107,4,2,2,657,221,1978,Manningham,-37.7624,145.1175,Eastern Metropolitan,5420
1318,Templestowe Lower,120 Templestowe Rd,3,h,742500,S,Philip,3/12/16,13.8,3107,3,1,2,313,128,1980,Manningham,-37.7556,145.0946,Eastern Metropolitan,5420
1319,Templestowe Lower,6 Boonah Ct,5,h,1050000,PI,Barry,4/3/17,13.8,3107,5,3,2,728,,,Manningham,-37.7601,145.1229,Eastern Metropolitan,5420
1320,Templestowe Lower,2/28 Hazel Dr,3,u,641000,S,Jellis,4/6/16,13.8,3107,3,1,2,349,,,Manningham,-37.7694,145.1082,Eastern Metropolitan,5420
1321,Templestowe Lower,271 High St,4,h,1500000,SP,Jellis,7/5/16,13.8,3107,4,2,2,420,255,2013,Manningham,-37.767,145.119,Eastern Metropolitan,5420
1322,Templestowe Lower,315 Thompsons Rd,3,h,1290000,S,Barry,7/11/16,13.8,3107,3,1,2,900,125,1960,Manningham,-37.764,145.1097,Eastern Metropolitan,5420
1323,Templestowe Lower,40 Dellfield Dr,5,h,950000,PI,Barry,10/9/16,13.8,3107,5,3,2,700,220,1973,Manningham,-37.7658,145.124,Eastern Metropolitan,5420
1324,Templestowe Lower,36 Howitt Dr,3,h,1065000,S,Ray,10/12/16,13.8,3107,3,1,2,664,,,Manningham,-37.7637,145.1117,Eastern Metropolitan,5420
1325,Templestowe Lower,16 Clauscen St,4,h,1280000,PI,Jellis,12/11/16,13.8,3107,4,2,2,681,158,1970,Manningham,-37.7646,145.1167,Eastern Metropolitan,5420
1326,Templestowe Lower,253 Thompsons Rd,4,h,1000000,VB,hockingstuart,13/8/16,13.8,3107,4,3,2,728,164,1970,Manningham,-37.768,145.1027,Eastern Metropolitan,5420
1327,Templestowe Lower,5 Michael St,3,h,1155000,S,Barry,22/5/16,13.8,3107,3,1,1,770,,,Manningham,-37.77,145.1089,Eastern Metropolitan,5420
1328,Templestowe Lower,4 Caroline Dr,3,h,1220000,SP,Jellis,27/11/16,13.8,3107,3,1,2,720,133,1960,Manningham,-37.7668,145.1086,Eastern Metropolitan,5420
1329,Thornbury,4/73 Flinders St,2,u,470000,S,Jellis,3/12/16,6.5,3071,2,1,1,0,,1970,Darebin,-37.7561,145.0067,Northern Metropolitan,8870
1330,Thornbury,2/6 Kemp St,1,u,517500,S,Harcourts,3/12/16,6.5,3071,1,1,0,0,53,1910,Darebin,-37.762,144.996,Northern Metropolitan,8870
1331,Thornbury,72 Gooch St,3,t,865000,PI,Love,7/11/16,6.5,3071,3,2,2,158,,,Darebin,-37.7586,145.0056,Northern Metropolitan,8870
1332,Thornbury,4b Newcastle St,3,t,910000,S,Love,7/11/16,6.5,3071,3,2,1,0,,,Darebin,-37.7551,145.0108,Northern Metropolitan,8870
1333,Thornbury,178 Clarendon St,3,h,1430000,S,Nelson,11/2/17,6.5,3071,3,1,3,705,,,Darebin,-37.7611,145.0142,Northern Metropolitan,8870
1334,Thornbury,327 Gillies St,3,h,1210000,PI,Nelson,12/6/16,6.5,3071,3,2,2,398,,,Darebin,-37.763,145.0198,Northern Metropolitan,8870
1335,Thornbury,220a Mansfield St,3,h,701000,S,Stockdale,13/8/16,6.5,3071,3,3,2,273,71,1958,Darebin,-37.7583,145.0174,Northern Metropolitan,8870
1336,Thornbury,296 Gooch St,2,h,740000,S,Harcourts,14/5/16,6.5,3071,3,1,2,467,,,Darebin,-37.7606,145.0241,Northern Metropolitan,8870
1337,Thornbury,4/305 Rossmoyne St,2,u,505000,S,Jellis,16/4/16,6.5,3071,2,1,0,0,80,1980,Darebin,-37.7591,145.0211,Northern Metropolitan,8870
1338,Thornbury,48 Leinster Gr,3,h,920000,S,Nelson,17/9/16,6.5,3071,2,1,2,410,,,Darebin,-37.7604,144.9877,Northern Metropolitan,8870
1339,Thornbury,146 Rossmoyne St,3,h,1200000,VB,Nelson,17/9/16,6.5,3071,3,2,1,345,345,1905,Darebin,-37.7582,145.0094,Northern Metropolitan,8870
1340,Thornbury,2/2 Dundas St,2,u,450000,S,McGrath,18/3/17,6.5,3071,2,1,1,0,52,1970,Darebin,-37.7526,145.0023,Northern Metropolitan,8870
1341,Thornbury,3/57 Pender St,1,u,383000,S,Love,19/11/16,6.5,3071,1,1,1,0,44,1965,Darebin,-37.7539,145.0075,Northern Metropolitan,8870
1342,Thornbury,144 Clarendon St,3,h,1290000,SP,Barry,22/5/16,6.5,3071,3,1,2,435,138,1920,Darebin,-37.7607,145.0105,Northern Metropolitan,8870
1343,Thornbury,279 Mansfield St,2,h,900000,S,Nelson,22/8/16,6.5,3071,2,1,1,497,,,Darebin,-37.7585,145.0226,Northern Metropolitan,8870
1344,Thornbury,7/67 Pender St,2,u,438000,SP,Love,22/8/16,6.5,3071,2,1,1,0,66,1970,Darebin,-37.7541,145.0088,Northern Metropolitan,8870
1345,Thornbury,50b Clyde St,3,h,1250000,VB,Nelson,24/9/16,6.5,3071,3,2,3,297,234,2013,Darebin,-37.7617,145.0117,Northern Metropolitan,8870
1346,Thornbury,85A Clyde St,3,t,1100000,VB,Jellis,25/2/17,6.5,3071,3,2,2,7330,,2011,Darebin,-37.7614,145.0118,Northern Metropolitan,8870
1347,Thornbury,7/9 Hammond St,2,u,466000,S,Woodards,25/2/17,6.5,3071,2,1,1,909,,,Darebin,-37.7633,145.0103,Northern Metropolitan,8870
1348,Thornbury,45A Harold St,3,h,1280000,S,Jellis,25/2/17,6.5,3071,3,1,1,253,130,1910,Darebin,-37.7566,144.9965,Northern Metropolitan,8870
1349,Thornbury,67/337 Station St,2,u,510000,SP,hockingstuart,27/6/16,6.5,3071,2,1,1,0,,,Darebin,-37.7634,145.021,Northern Metropolitan,8870
1350,Toorak,16/3 Tahara Rd,1,u,546000,S,LITTLE,3/12/16,4.6,3142,1,1,1,1677,,,Stonnington,-37.8384,145.0178,Southern Metropolitan,7217
1351,Toorak,684 Orrong Rd,4,h,5500000,S,Marshall,4/3/17,4.6,3142,4,4,5,877,332,1923,Stonnington,-37.8447,145.0134,Southern Metropolitan,7217
1352,Toorak,13 Ruabon Rd,2,h,1300000,VB,David,4/3/17,4.6,3142,2,1,0,338,,,Stonnington,-37.8475,145.0086,Southern Metropolitan,7217
1353,Toorak,8/2 Douglas St,1,u,462800,SP,hockingstuart,8/10/16,4.6,3142,1,1,1,0,,1970,Stonnington,-37.8392,145.008,Southern Metropolitan,7217
1354,Toorak,296A Williams Rd,3,h,2840000,PI,Marshall,11/3/17,4.6,3142,3,2,4,1317,228,2000,Stonnington,-37.838,145.0054,Southern Metropolitan,7217
1355,Toorak,11 Church St,3,t,2700000,VB,Kay,12/6/16,4.6,3142,3,2,2,294,220,2010,Stonnington,-37.8503,145.0292,Southern Metropolitan,7217
1356,Toorak,1 Ross St,4,h,4000000,VB,Kay,13/8/16,4.6,3142,4,4,4,324,60,,Stonnington,-37.8439,145.0093,Southern Metropolitan,7217
1357,Toorak,23 Canberra Rd,4,h,4500000,PI,RT,15/10/16,4.6,3142,4,3,2,732,367,1980,Stonnington,-37.8349,145.01,Southern Metropolitan,7217
1358,Toorak,13 Bruce St,3,h,1900000,VB,Castran,19/11/16,4.6,3142,3,2,1,268,139,1900,Stonnington,-37.8369,145.0072,Southern Metropolitan,7217
1359,Toorak,20 Sargood St,2,t,2100000,PI,Abercromby's,25/2/17,4.6,3142,2,2,3,457,,,Stonnington,-37.8464,145.0142,Southern Metropolitan,7217
1360,Toorak,23/530 Toorak Rd,2,u,511000,SP,Morleys,27/6/16,4.6,3142,2,1,2,0,68,1970,Stonnington,-37.8424,145.0184,Southern Metropolitan,7217
1361,Toorak,16 Cole Ct,3,h,3270000,S,Marshall,28/8/16,4.6,3142,3,2,1,363,215,1935,Stonnington,-37.8445,145.0182,Southern Metropolitan,7217
1362,Viewbank,3/23 Christine St,2,u,556000,S,Ray,3/12/16,13.8,3084,2,1,1,195,,1995,Banyule,-37.7405,145.0876,Eastern Metropolitan,2698
1363,Viewbank,14 Rosemary Ct,4,h,730000,PI,Miles,4/6/16,13.8,3084,4,1,1,865,172,1960,Banyule,-37.7297,145.0946,Eastern Metropolitan,2698
1364,Viewbank,15 Christine St,3,h,775000,SP,Miles,16/4/16,13.8,3084,5,3,2,586,,,Banyule,-37.7405,145.0886,Eastern Metropolitan,2698
1365,Viewbank,24 Northwood Dr,5,h,1025000,S,Nelson,17/9/16,13.8,3084,5,3,2,531,233,1978,Banyule,-37.7378,145.0955,Eastern Metropolitan,2698
1366,Viewbank,111 Rutherford Rd,4,h,1085000,S,Barry,22/8/16,13.8,3084,4,3,2,599,,,Banyule,-37.7397,145.0934,Eastern Metropolitan,2698
1367,Watsonia,9 Grace St,3,h,1000000,S,Buckingham,4/3/17,14.9,3087,3,2,2,739,,,Banyule,-37.7104,145.0817,Northern Metropolitan,2329
1368,Watsonia,7 French Ct,3,h,740000,S,Buckingham,10/9/16,14.9,3087,3,1,1,591,104,1960,Banyule,-37.7135,145.0783,Northern Metropolitan,2329
1369,Watsonia,1 Meagher St,3,h,741000,SP,Buckingham,12/11/16,14.9,3087,3,1,1,671,103,1960,Banyule,-37.7072,145.0855,Northern Metropolitan,2329
1370,Watsonia,18 Temby St,4,h,706000,S,Ray,12/11/16,14.9,3087,4,1,2,581,,,Banyule,-37.7094,145.0877,Northern Metropolitan,2329
1371,Watsonia,2 Thompson St,3,h,725000,S,Buckingham,12/11/16,14.9,3087,3,1,1,545,,,Banyule,-37.7088,145.0893,Northern Metropolitan,2329
1372,Watsonia,1/18 Leafield St,3,u,537000,S,Barry,14/5/16,14.9,3087,3,1,2,327,95,1960,Banyule,-37.7125,145.0768,Northern Metropolitan,2329
1373,Watsonia,1 Papua St,2,h,662000,S,Buckingham,16/7/16,14.9,3087,2,1,2,605,114,1960,Banyule,-37.7118,145.088,Northern Metropolitan,2329
1374,Watsonia,295 Greenwood Dr,3,h,860500,S,Barry,24/9/16,14.9,3087,3,2,0,767,147,1960,Banyule,-37.7084,145.0788,Northern Metropolitan,2329
1375,Watsonia,49 Wattle Dr,3,h,627500,S,Barry,24/9/16,14.9,3087,3,1,1,319,96,2000,Banyule,-37.7165,145.0759,Northern Metropolitan,2329
1376,Watsonia,14 Illoura St,3,h,601000,S,Darren,27/6/16,14.9,3087,3,1,1,653,,,Banyule,-37.7163,145.087,Northern Metropolitan,2329
1377,Watsonia,36 Powley Pde,3,h,838000,S,Barry,30/7/16,14.9,3087,3,1,2,828,,,Banyule,-37.7161,145.0804,Northern Metropolitan,2329
1378,West Melbourne,10/18 Ireland St,1,u,460000,PI,Nelson,4/6/16,1.9,3003,1,1,1,0,52,2000,Melbourne,-37.8076,144.9456,Northern Metropolitan,2230
1379,West Melbourne,9/24 Ireland St,1,u,550000,S,Nelson,7/5/16,1.9,3003,1,1,1,0,207,1930,Melbourne,-37.8076,144.9456,Northern Metropolitan,2230
1380,West Melbourne,7/88 Ireland St,3,t,1120000,S,Jellis,25/2/17,1.9,3003,3,3,1,801,122,2008,Melbourne,-37.8067,144.9435,Northern Metropolitan,2230
1381,West Melbourne,11/24 Ireland St,1,u,482000,SP,Nelson,26/7/16,1.9,3003,1,1,1,0,62,1930,Melbourne,-37.8076,144.9456,Northern Metropolitan,2230
1382,West Melbourne,44 Miller St,4,h,2100000,S,Brad,28/5/16,1.9,3003,4,1,0,440,,,Melbourne,-37.8056,144.9463,Northern Metropolitan,2230
1383,West Melbourne,19/33 Jeffcott St,3,u,601000,S,MICM,30/7/16,1.9,3003,2,1,1,0,81,1996,Melbourne,-37.8118,144.9526,Northern Metropolitan,2230
1384,Williamstown,4 Freyer St,4,h,1325000,S,hockingstuart,3/9/16,8,3016,3,2,1,452,,,Hobsons Bay,-37.855,144.8905,Western Metropolitan,6380
1385,Williamstown,35 Chandler St,4,h,1400000,PI,hockingstuart,4/3/17,8,3016,4,2,4,457,,,Hobsons Bay,-37.8517,144.8923,Western Metropolitan,6380
1386,Williamstown,8 Long St,2,h,1050000,S,Sweeney,4/3/17,8,3016,2,1,4,445,148,,Hobsons Bay,-37.8615,144.8827,Western Metropolitan,6380
1387,Williamstown,13/8 The Strand,2,t,830000,SP,Greg,7/11/16,8,3016,2,1,1,84,110,1980,Hobsons Bay,-37.8581,144.9015,Western Metropolitan,6380
1388,Williamstown,73 Victoria St,4,h,1900000,SP,Village,11/3/17,8,3016,4,3,2,321,287,,Hobsons Bay,-37.8623,144.8884,Western Metropolitan,6380
1389,Williamstown,5 Railway Pl,3,h,1010000,PI,Sweeney,12/11/16,8,3016,3,2,2,250,185,,Hobsons Bay,-37.8667,144.903,Western Metropolitan,6380
1390,Williamstown,102 John St,2,h,1000000,S,Jas,15/10/16,8,3016,2,1,0,240,,,Hobsons Bay,-37.8544,144.8922,Western Metropolitan,6380
1391,Williamstown,71 Hannan St,4,h,1805000,S,Greg,16/4/16,8,3016,3,2,2,466,160,1930,Hobsons Bay,-37.8621,144.8872,Western Metropolitan,6380
1392,Williamstown,81 Parker St,2,h,1337500,SP,Raine,25/2/17,8,3016,2,1,0,297,,,Hobsons Bay,-37.8645,144.8977,Western Metropolitan,6380
1393,Williamstown,24 John St,2,h,920000,S,Jas,26/7/16,8,3016,2,1,1,307,,,Hobsons Bay,-37.855,144.8985,Western Metropolitan,6380
1394,Williamstown,139 Cecil St,4,h,2255000,S,Raine,27/11/16,8,3016,4,1,3,765,257,1880,Hobsons Bay,-37.8621,144.8999,Western Metropolitan,6380
1395,Williamstown North,4/29 Champion Rd,2,u,400000,SP,Compton,8/10/16,8.9,3016,2,1,1,0,,1970,Hobsons Bay,-37.8564,144.8864,Western Metropolitan,802
1396,Williamstown North,18 Inglis St,3,h,1225000,SP,Raine,27/11/16,8.9,3016,3,1,1,311,126,1920,Hobsons Bay,-37.8546,144.8762,Western Metropolitan,802
1397,Windsor,1/14 The Avenue,3,u,825000,S,Marshall,3/12/16,5.1,3181,3,1,1,0,,,Stonnington,-37.8565,144.998,Southern Metropolitan,4380
